phrase,means
飼い犬に手を噛まれる,親しい関係の人から裏切られること
会稽の恥,自らの行いや言動が恥ずかしいこと
解語の花,物事を言葉で説明し、理解を深めること
隗より始めよ,物事を始める際には小さな一歩から始めるべきであること
蛙の子は蛙,親と同様の特徴や性格を持つ子供
蛙の面に水,馴染みやすい状況や環境
蝸牛角上の争い,小さな問題や些細なことでの争い
獲麟,非常に難しいことを成し遂げること
華胥の国に遊ぶ,夢幻的な場所や理想郷に浸ること
臥薪嘗胆,苦労や辛い経験をして将来の成功を目指すこと
苛政は虎よりも猛し,厳しい政治や支配は虎のように猛烈であること
渇すれども盗泉の水を飲まず,絶望的な状況にあっても不正や悪事に手を染めないこと
河童の川流れ,期待外れな結果や出来事が起こること
河童の屁,取るに足らないことや価値のないこと
桂を折る,高貴な者や有力者を挑発したり、傷つけたりすること
瓜田に履を納れず,場違いなことや不適切な行動
鼎の軽重を問う,物事の重要性や影響を評価すること
蟹は甲羅に似せて穴を掘る,機会を逃すために身を引いたり、慎重に行動すること
金の切れ目が縁の切れ目,金銭的な問題が関係や絆を断つ原因となること
金は天下の回りもの,金銭の力が様々な状況や人間関係に影響を与えること
禍福は糾える縄の如し,運命や出来事は予測不可能であること
壁に耳,他人の秘密や話を盗み聞きすること
果報は寝て待て,良い結果や幸運は辛抱強く待つことで訪れる
剃刀の刃を渡る,非常に危険な状況や困難な課題に挑戦すること
亀の甲より年の功,経験や年齢によって得た知識や技能の重要性
鴨が葱を背負って来る,偶然や思いがけない形で幸運が訪れること
痒いところに手が届く,問題や悩み事に迅速に対処できること
烏に反哺の孝あり,親が子供に恩恵を施すこと
画龍点睛,全体の中で最も重要である部分や要素
枯れ木に花,望みが薄い状況でも希望や成功が訪れること
枯れ木も山の賑わい,どんな小さな力や資源でも、大きな組織やコミュニティに貢献できること
可愛い子には旅をさせよ,可愛い子や大切な人を守るためには、時には遠くへ行かせることが必要
邯鄲の歩み,無駄な努力や時間の浪費
邯鄲の夢,現実的でない夢や目標
艱難汝を玉にす,苦しい状況や困難を乗り越えることで、その経験が自分を磨くこと
堪忍袋の緒が切れる,我慢の限界が訪れること
管鮑の交わり,異なる立場や階層の人々が交流し合うこと
聞いて極楽見て地獄,一度聞いただけで理解できると思っていたことが、実際には難しいことであること
奇貨居くべし,予測不可能な出来事や機会が訪れること
雉も鳴かずば撃たれまい,目立たず静かな存在であれば、危険や攻撃を受けないこと
疑心暗鬼,疑念が生じると、何事も疑わしく思えてしまうこと
木で鼻を扱くる,権力や力を持たない者が、強い者と対抗しようとすること
木に竹を接ぐ,不適切な方法や手段を用いて物事を成し遂げようとすること
木に縁りて魚を求む,不適切な手段で望むものを得ようとすること
昨日は人の身今日は我が身,他人に起きた不幸な出来事が、自分にも起こりうること
木の実は本へ落つ,本物の才能や価値はいずれ顕れること
気は心,気持ちや意志が心を形成すること
杞憂,取るに足らない心配や不安
九死に一生を得る,極めて危険な状況から一命を取り留めること
牛耳を執る,権力や支配を握ること
窮すれば通ず,困難な状況にあると、様々な手段や方法が見つかること
窮鼠猫を噛む,追い詰められた者が逆襲や反撃を試みること
器用貧乏,多くのことに少しずつ手を出すが、本格的には何にもならないこと
渠成って水至る,努力や工夫によって目標や成功が近づくこと
漁夫の利,他人の争いや問題を利用して得をすること
騏驥も老いては駑馬に劣る,優れた才能や力も年を取ると劣ること
金時の火事見舞い, 火事の際には近隣の人々が助け合うこと
臭いものに蓋をする, 嫌なことや問題は放っておくよりも早く対処すべきであること
腐っても鯛, 高貴で価値あるものは朽ちても価値があること
糞も味噌も一緒, 良いことも悪いこともすべて同じであること
口は禍の門, 口から出た言葉が災いを招くこと
唇亡びて歯寒し, 仲間や協力関係が崩れると困難な状況に陥ること
口も八丁手も八丁, 話すことも行動することも器用であること
国破れて山河あり, 国が滅んでも人々が生きていくこと
蜘蛛の子を散らす, 細かいことや小さい者が散り散りになること
暗がりから牛, 不正や悪事を隠して行うこと
苦しいときの神頼み, 困難な状況になると神仏に助けを求めること
君子危うきに近寄らず, 良識ある人は危険な状況に近づかないこと
君子は豹変する, 善人でも状況や環境によって変わること
葷酒山門に入るを許さず, 不純なものは清らかな場所に入ることを許されないこと
群盲象を評す, 盲人の群れが象を評価するように、経験のない者が大きなことを判断すること
挂冠, 高官や立場を捨てること
鶏群の一鶴, 鶏の群れの中で一際優れた者
鶏口となるも牛後となる勿れ, 小さな地位や役職で安易に喜んでいると、大きなものになることはない
芸術は長く人生は短し, 芸術や才能は磨き続けるべきだが、人生は短いこと
蛍雪, 美しい風景や瞬間は短命であること
兄たり難く弟たり難し, 兄弟関係は複雑で難しいこと
鶏鳴狗盗, 他人の功績や仕事を横取りすること
怪我の功名, 失敗や困難が後に成功や利益につながること
逆鱗, 怒りっぽい人の逆鱗に触れると大変なことになること
月下氷人, 愛を語りながら実際には冷たく感じない人
毛を吹いて傷を求める, 小さなことで問題を起こし、大きな傷を作ること
涓滴石を穿つ, 少しずつでも継続すれば困難なことも成し遂げられること
恋は思案の外, 恋愛は計画や思慮の範疇を超えること
光陰矢の如し, 時間は迅速に過ぎること
後悔先に立たず, 後から悔やむよりも前もって注意すべきであること
好事魔多し, 期待せずに物事に臨むと、思いがけない良い出来事が起こること
弘法も筆の誤まり, どんなに賢明な人でも時には間違いを犯すこと
高木は風に折らる, 高慢な態度や傲慢な態度はついには災難を招くこと
紺屋の明後日, 物事が未定かつ不確かな状況
紺屋の白袴, 堂々としているが実力や実績が伴っていないこと
呉越同舟, 敵対関係にある者同士が同じ船に乗ること
呉下の阿蒙, 弱者や無能者が強者に仕えること
故郷へ錦を飾る, 故郷や出身地を誇りに思うこと
虎穴に入らずんば虎子を得ず, 危険を冒さなければ大きな利益は得られないこと
五十歩百歩, 似たようなことや選択肢であっても、微妙な違いがあること
壺中の天地, 狭い中に広大な世界が広がっていること
子は三界の首枷, 子供は親の影響を受けること
鼓腹撃壌, 太鼓を打って腹を叩くような、無駄で非効率な行為
田作の歯軋り, 地元の農夫が他から入ってきた競争者に対して不満や焦りを感じること
子故の闇, 親の言動や行動によって子供が困難に直面すること
転ばぬ先の杖, 事前の用意や慎重さが事故やトラブルを防ぐこと
塞翁が馬, 逆境や不運が幸運に転じること
先んずれば人を制す, 他よりも先に行動すれば他を制することができる
酒は百薬の長, 適度に飲むことで健康に良い影響があること
左袒, 特定の一方に味方すること
五月の鯉の吹流し, 五月の端午の節句に吹流しで飾ること
去る者は日々に疎し, 離れていく者は徐々に関心を失うこと
触らぬ神に祟りなし, 他人の大切なものや神聖なものに触れなければ災難が訪れないこと
三顧の礼, 何度も尊敬や拝みの意を示すこと
三十六計逃げるに如かず, あらゆる状況に対して機転を効かせることが必要である
山椒は小粒でもぴりりと辛い, 小柄であっても力強く、優れたものであること
鹿を追う者は山を見ず, 無駄な追求に没頭して本質を見落とすこと
鹿を指して馬と為す, 故意に事実を曲解し、正しくない評価をすること
地獄で仏に会う, 苦しい経験を通して良い結果が得られること
肉食った報い, 邪悪な行いや悪事が最終的には自らに返ること
獅子身中の虫, 外見が強大でも内部には弱点や問題があること
死児の齢を数える, 無駄なことや失敗に対してくよくよと心配すること
士族の商法, 上流階級の者が商売や商才を持たないこと
七歩の才, 若くして聡明であること
死人に口なし, 亡くなった者には意見や声がないこと
死馬の骨を買う, すでに使い物にならないものを無駄に手に入れること
四面楚歌, 周りから孤立し、助けがない状況
釈迦に説法, 専門家に対してその専門分野で説教すること
杓子定規, 細かいことにこだわりすぎて柔軟性を欠くこと
蛇の道は蛇, 特定の分野や状況ではその道の専門家が最も適していること
重箱の隅を楊枝でほじくる, 細かいことにこだわって議論すること
守株, 固定観念や旧習にこだわりすぎて新しいことに挑戦しないこと
出盧, 仏像から出てくるような、非現実的な言動
朱に交われば赤くなる, 良い影響を受けることで良い結果が得られること
正直の頭に神宿る, 正直な人は神に守られること
上知と下愚は移らず, 上位の知識や能力が下位には伝わらないこと
食指が動く, 魅力的で欲望を喚起すること
知らぬが仏, 知らないことが幸福であること
白羽の矢が立つ, 選ばれること
尻馬に乗る, 他人の成功や有利な状況に乗じること
水魚の交わり, 異なる環境や文化の人々が交流すること
推敲, 言葉や文章を何度も考え直し、磨き上げること
粋は身を食う, 洗練された趣味や粋な言動が自らに影響を与えること
酸いも甘いも噛み分けた, 苦しい経験や困難も含めて全てを経験したこと
据膳食わぬは男の恥, 用意されたものを受け入れないことは男の恥であること
好きこそ物の上手なれ, 好きなことに熱中することでその道で上達すること
杜撰, 不注意で手抜きなこと
雀の涙, 非常に少量の涙
雀百まで踊り忘れず, 雀でも百まで踊るくらい元気であること
青眼, 未熟な目で物事を見ること
精神一到何事か成らざらん, 心を一つにして努力すれば何事も成し遂げられること
噬臍, 自分自身を傷つけること
清談, 清らかな心で語り合うこと
青天の霹靂, 思いがけない災難や出来事
積善の家に余慶あり, 善行を積み重ねる家には幸福が訪れること
折角, 労力や努力をかけて手に入れたものが無駄になること
折檻, 管理や指導のために叱責や懲罰を与えること
背に腹は替えられぬ, 二つの困難な状況の中で片方を選ばなければならないこと
前車の覆るは後車の戒め, 前に起きた失敗や災難を見て学び、同じ過ちを繰り返さないこと
前車の轍を踏む, 先行者の行動や経験を参考にすること
栴檀は二葉より芳し, 紫檀の香りは一つよりも二つのほうが良いという意味で、連携や協力が大切であること
船頭多くして船山に登る, 船頭が多いと船は山のように高くなり、指導者が多いと事業は成功すること
善は急げ, 良いことをすぐに行動に移すこと
滄海の一粟, 海の広さと一粟（大麦の一粒）の小ささを比喩して、広大なものでも微々たるものであること
喪家の狗, 葬儀で家が喪に服すと、家の犬もしばらくの間鳴かなくなること
宋襄の仁, 仁徳に富んだ人物。宋の襄王が仁徳のある君主として評価されることから
総領の甚六, 総領甚六は妙手甚六ともいい、手先の器用な者。あるいは、全てを指揮する立場の者
俎上の魚, 俎（ます）の上の魚は、もともと魚ではないところに、見るものが興奮することから、人々の興奮や興味を引く出来事
袖振り合うも多生の縁, 袖を振るう仲がよいことから、縁や縁起が重要であること
大海は芥を択ばず, 大きなものでも小さなものでも、すべてを受け入れる広い心を持つこと
大疑は大悟の基, 疑問が大きければ大きいほど、深い理解や悟りが生まれること
大器晩成, 大きな才能や能力を持っている人は、成熟するのに時間がかかること
大賢は愚なるが如し, 大いなる才能や知恵を持つ者でも、時には愚かな行動をすることがある
太公望, 太公望（太公釣り）は、魚釣りをする太公のことで、順調なことが途中で挫折すること
大山鳴動して鼠一匹, 大きな出来事や騒ぎがあっても、結局は小さな問題や影響しかないこと
大事の前の小事, 大きな目標や重要な仕事の前に、細かなことや準備が大切であること
鯛の尾より鰯の頭, 尾よりも頭が良いこと。大事な部分は先に回ることがある
大勇は闘わず, 大いなる勇気や力を持つ者は、戦うことなく問題を解決することができること
大欲は無欲に似たり, 大きな欲望を持つ者は、無欲に似ていること。欲望を抑えることが重要であること
宝の持ち腐れ, 貴重なものを持っていても、活用しなければ意味がないこと
多岐亡羊, 多くのことに手を広げすぎると、結局何も成し遂げられないこと
多芸は無芸, 多くの才能や技術を持っているが、どれも中途半端であること
竹屋の火事, 竹屋の火事は燃えやすいことから、火災の比喩として使われる
竹薮に矢を射る, 竹の中に矢を射るように、簡単なことに難しいことを求めること
他山の石, 他人の失敗や反省から自分の教訓を得ること
多勢に無勢, 数で勝る相手に対しては、力を持たないと勝てないこと
蛇足, 余計なこと。必要のない追加や言動
多々益々弁ず, 多くのことを話すことが、ますます理解を深めること
畳の上の水練, 畳の上では水練りができるように、状況や環境に適応すること
立つ鳥跡を濁さず, 立ち去る鳥が跡を残さず、優雅に去ること
立て板に水, 立て板に水のように、硬直している様子
蓼食う虫も好き好き, 人それぞれ好みや価値観が異なること
棚から牡丹餅, 牡丹餅が天から棚の上に降ってくるように、思いがけない幸運が訪れること
他人の疝気を頭痛に病む, 他人の悩みや苦しみを自分の問題として悩むこと
旅の恥は掻き捨て,先行者の失敗や恥を乗り越えて前に進むこと
旅は道連れ世は情,共に困難を共有し、人々は助け合いながら生きていくこと
卵に目鼻,まだ発展途上で未熟なものに、早くも特徴や個性が現れていること
玉に瑕,美しいものにも欠点や傷があること
短気は損気,怒りっぽい態度は損失を招くこと
知音,理解者や共鳴する相手。互いに理解し合える友人や仲間のこと
池魚の殃い,近くにいる者が災難や悪影響を受けること
竹馬の友,幼少時からの付き合いで深い絆がある友達
血で血を洗う,仇敵との因縁や争いを解決するために、同じ手段で応じること
茶腹も一時,飲みすぎることも一時の楽しみ。程々にすることが大切であること
忠言は耳に逆らう,大切な忠告や助言は、受け入れるのが難しいこと
朝三暮四,同じものや事物を異なる角度から見ることで、新たな発見があること
提灯に釣鐘,場違いなものや無駄なものをつけること。不自然で釣り合わないこと
朝令暮改,方針や計画が頻繁に変更されること。安定しない態度
塵も積もれば山となる,小さなものでも積み重ねると大きな成果や影響が生まれること
月と鼈,異なるもの同士の関係。月と亀のように接点がないこと
月に叢雲、花に風,何事も安定せず変わりやすいこと
月夜に釜を抜かれる,悪いことが不意に起こること。用意周到な計画が台無しになること
月夜に提灯,無駄な手間や道具。必要のないもの
土一升に金一升,地位や権力のある者とそうでない者が同じように死ぬこと
角を矯めて牛を殺す,小さな欠点や問題を修正して大きな成功を収めること
爪に火を灯す,困難な状況を乗り越えて成功を収めること
爪の垢を煎じて飲む,非常に微細で小さなものでも重要な価値を持つこと
鶴の一声,権威や専門家の一言で、問題が解決すること
鶴は千年亀は万年,長寿であることが尊ばれる。亀の方が寿命が長いため、更に尊ばれる
聾の早耳,難聴者でも情報に早くアクセスできること。情報を敏感に察知すること
庭訓,庭や環境に関する教訓や知恵
亭主の好きな赤烏帽子,亭主が好む赤い烏帽子。奥さんが夫の好みを理解し、尊重すること
泥中の蓮,困難な状況から美しい結果が生まれること
敵は本能寺にあり,争いや危機は突然やってくること。敵は身近に潜んでいること
梃子でも動かない,どれだけ力を込めても変えることができないこと
手鍋を提げる,手っ取り早く作業に取り組むこと。手段を選ばず即断即決
出る杭は打たれる,目立つことや異を唱えることは危険を伴うこと
天衣無縫,自然体であり、無理をせずに自分らしく振る舞うこと
椽大の筆,巨大な筆で大仕事をすること。大掛かりな計画やプロジェクト
天高く馬肥ゆる,天候が良いと馬も元気になり、物事が順調に進むこと
天に唾する,神聖なものを汚すこと。無神経な行動
天馬空を行く,非現実的なことや夢幻的な世界に行くこと
天は自ら助くる者を助く,自分で努力し、助けを求めない限り、神も助けないこと
灯台下暗し,身近なことや自分の欠点が見えにくいこと。他人の欠点は見えるが自分のは見えないこと
問うに落ちず語るに落ちる,知識が豊富であることは質問に答えるよりも、実践や行動が大切であること
豆腐に鎹,無駄な手間や余計なもの。完璧なものに仕上げるための細かい作業
東奔西走,あちこち忙しく駆け回ること
桃李言わざれども下自ずから蹊を成す,言葉で褒められなくても、実力や実績が人を引き寄せること
登竜門,成功への第一歩や重要な試練。登ることで成功への近道となること
十日の菊,期限や約束が過ぎると忘れ去られること
遠くの親類より近くの他人,遠い親戚よりも身近な他人とのつながりが重要であること
時は金なり,時間は貴重であること。時間を無駄にしてはいけないこと
読書百遍意自ずから通ず,同じ本を何度も読むことで理解が深まり、知識が身につくこと
毒を食らわば皿まで,他人の悪口や中傷を言ったり広めたりすることは、自分にも返ってくること
毒を以って毒を制す,相手の悪意や攻撃に対抗するために、同じ手段を使うこと
所変われば品変わる,環境や状況が変わると、人の態度や性格も変わること
年には勝てぬ,歳月の経過や老いには勝てないこと
年寄りの冷や水,若者が経験豊富な年長者に対して無理なことを言うこと
図南,自分の欠点や短所を指摘されること
斗南の一人,他人とは異なる存在や孤独な立場
駑馬に鞭打つ,能力の劣る者に対して厳しい手段を使うこと
鳶が鷹を生む,期待外れの結果や逆転劇。劣っているものが良い結果を生むこと
飛ぶ鳥を落とす,非常に巧妙で成功が約束されている計画や行動
虎の威を借る狐,他人の権威や力を借りて自分を大きく見せること
虎は死して皮を残す,強大な存在や力を持っていた者が死んでも、その影響や名声が残ること
鳥無き里の蝙蝠,場違いな存在。周りと異なる特異な存在
泥棒を見て縄を綯う,他人の悪事を見て、同じような方法で悪事を働くこと
無い袖は振れない,物質的な支援や資源がないと、何もできないこと
泣いて馬謖を斬る,自分の誤りや失敗を他人に責任を押し付けること
長い物には巻かれろ,有力者や影響力のある者の意向に従うことが賢明であること
泣き面に蜂,悲しみや苦難に対してさらに不運な出来事が加わること
泣く子と地頭には勝てぬ,年少者や経験の浅い者が年長者や経験豊富な者に勝つことは難しいこと
情けは人の為ならず,他人に対する情け深さや思いやりは、その人のためではなく自分自身のためになることがある
七重の膝を八重に折る,約束や取り決めを守るために、非常な努力や犠牲が必要なこと
名は体を表わす,人の名前や評判は、その人の本質や行動を示していることがある
怠け者の節句働き,怠け者が働くときは、短時間でも一生懸命働くこと
蛞蝓に塩,自分の敵に害を与えるために、小さな手段を用いること
名を取るより実を取れ,名声や栄誉よりも、実際の成果や実績を重視すべきであること
南柯の夢,夢や幻想。現実的でない理想や希望
煮え湯を飲まされる,突然厳しい状況に直面すること。突然の困難に直面すること
二階から目薬,遠くから他人の問題に干渉しようとすること。無関係な場所からの介入
逃がした魚は大きい,逃がしてしまった機会やチャンスは、後で後悔することが多い
苦虫を噛み潰す,苦しい状況や不快な出来事に直面した際、自分で解決すること
憎まれっ子世に憚る,嫌われ者や非難される人は、人々の注目を浴びることが多い
錦を着て夜行くが如し,外見や装いだけで中身が乏しいこと
二豎,性格や能力が似ている二人の者
似た者夫婦,性格や趣味などが似通った二人の間柄
二度あることは三度ある,同じ失敗や間違いを繰り返すことが多い
二兎を追う者は一兎をも得ず,あまり多くの目標を同時に追い求めると、どれも達成できないことがある
糠に釘,不適切な解決策を提案すること
盗人に追い銭,盗人に取り返しを要求すること
濡れ手で粟,手間をかけずに利益を得ること
猫に小判,高価なものを、価値のわからない者に与えること
猫の手も借りたい,手伝いが欲しくて、どんな手助けでもありがたく思うこと
猫を被る,本来の姿や性格を隠して、別の顔を見せること
嚢中の錐,使いもしないような物
残り物には福がある,他人が価値を見出さないものに、自分にとっては価値があることがある
喉元過ぎれば熱さを忘れる,危険や困難が過ぎた後には、その緊張感や苦痛が薄れること
暖簾に腕押し,立場や地位のある者が、無用な助言や干渉をすること
背水の陣,窮地に立たされたときに、最後の砦で必死に戦うこと
掃き溜めに鶴,価値のあるものが、価値のない場所に現れること
破鏡,大事なものや関係が破壊されること
白眼,嫌悪や軽蔑の目で見られること
白玉楼,美しい建築物や作品
白眉,最も優れた者や才能のある者
破天荒,通常の枠を超えた行動や考え方
花は桜木人は武士,人は外見や称賛される部分を重視されることが多い
花より団子,実益や実用を重視すること。形より中身
早起きは三文の徳,早起きをすることで、多くのことを成し遂げることができるという教訓
腹も身の内,欲望や執着心を抑え、必要最低限の生活を心掛けること
張子の虎,外見だけで中身が伴わない人や物
引かれ者の小唄,追われる者が悲しい歌を歌うこと。逆境に立たされた者の心情
髭の塵を払う,些細なことにも気を使い、清潔や秩序を保つこと
庇を貸して母屋を取られる,親切心で他人に助け舟を出すと、それが逆に自分に損害をもたらすこと
尾生の信,尾生の名声や評判
顰に効う,怒りや不満を表情に出すことで、他人に対して影響を与えること
人を呪わば穴二つ,他人に悪口を言ったり呪ったりすると、自分にも同じような災厄が訪れること
髀肉之嘆,無駄に力を入れても成果が出ないことへの嘆き
火のないところに煙は立たぬ,根拠のない噂や非難が立つこと
百聞は一見に如かず,何度も聞くよりも一度見る方が理解が早いこと
瓢箪から駒,意図せずに望外の幸運が訪れること
瓢箪鯰,物事が不条理であること
風声鶴唳,物事の前兆や予兆
風前の灯,危機的な状況や危険にさらされている状態
笛吹けども踊らず,言葉や助言があっても、実際の行動が伴わないこと
覆水盆に反らず,一度こぼれた水は戻らない。失敗や過ちは取り返しのつかないこと
武士は食わねど高楊枝,武士は贅沢をしないが、風情や格式は守るべきだという教訓
豚に真珠,価値のわからない者が貴重なものを持っていること
舟に刻みて剣を求む,船上で剣を作るような無駄な行動や要求をすること
武陵桃源,理想的で現実離れした理想郷
焚書坑儒,知識や文化を破壊すること。反知識主義の行為
臍が茶を沸かす,関係のない者が権限を行使したり、余計な口出しをすること
下手の考え休むに似たり,不得手な者が上手くなるには、努力や練習が必要である
下手の横好き,得意でないことに無理に取り組むこと
弁慶の立ち往生,強者や有力者が行き詰まり、進展がない状態
弁慶の泣き所,強者や有力者でも弱点や傷つく部分がある
望蜀,遠くの目標や望みを持つこと
坊主憎けりゃ袈裟まで憎い,嫌いな者は何でも嫌い。一度嫌われると、どんなことでも嫌われること
墨守,古風で守りに入り、新しい考え方や変化を拒むこと
仏作って魂入れず,手を抜いて作った物や仕事には、真の価値が生まれないこと
仏の顔も三度,いくら冷静で寛大な態度を保っていても、何度も同じことをされると怒りっぽくなること
