スマホ	智能手機	智能手机
デザイナー	設計師	设计师
ブランド	老牌子	老牌子
トレンド	潮流	潮流
ハンドクリーム	護手霜	护手霜
センス	品味	品味
パトロン	籍助	籍助
プロポーズ	求婚	求婚
タイミング	時機	时机
スポンサー	贊助者	赞助者
フォロー	安慰	安慰
ハイタッチ	擊掌相慶	击掌相庆
ストレス	精神負擔	精神负担
シーズン	季	季
ナンバー	號碼	号码
ブロック	鎖定	锁定
グラウンド	操場	操场
トラック	跑道	跑道
ショッピングモール	商場	商场
バイアス	偏見	偏见
プライバシー	個人隱私	个人隐私
ティッシュ	衛生紙	卫生纸
コールサイン	電台呼號	电台呼号
トラブル	麻煩	麻烦
コンセプト	概念	概念
エース	王牌	王牌
プロトタイプ	定義	定义
アバン	片頭解說	片头解说
スタジオ	攝影堋	摄影堋
ポジティブ	積極	积极
ネガティブ	消極	消极
アグレッシブ	進攻	进攻
メンヘラ	鬱嬌	郁娇
カメラ	相機	相机
ブロマイド	相片	相片
フェイク	假象	假象
アルファベット	字母	字母
コンプライアンス	法規/相關規定	法规/相关规定
パーソナル	個性	个性
メンバー	成員	成员
チーム	隊伍	队伍
チームワーク	團體合作	团体合作
リーダー	領隊	领队
アンケート	排名	排名
ジェスチャー	手勢	手势
チケット	門票	门票
リリーフ	代班	代班
バリエーション	混合	混合
ラウンド	回合	回合
エゴイズム	利己/自私	利己/自私
フィーリング	感覚	感覚
スピンオフ	外傳	外传
ロゼット	花結	花结
サボテン	仙人掌	仙人掌
テレビ	電視	电视
プール	泳池	泳池
パズル	魔方	魔方
ギミック	機關	机关
アイデンティティー	持點	持点
リーダーシップ	領導能力	领导能力
デッサン	素描	素描
パース	透視	透视
バンガロー	露營小屋	露营小屋
テント	支帳篷	支帐篷
キャンプ	露營	露营
アルバイト	打工	打工
リハーサル	彩排/預演	彩排/预演
パフォーマンス	表現	表现
リフト	纜車	缆车
ブランク	空窗期	空窗期
プライム	金牌服務	金牌服务
フライ	油炸	油炸
スクープ	慘遭爆料	惨遭爆料
ドラグノブ	卸力施鈕	卸力施钮
シチュエーション	情境	情境
イベント	表演	表演
NG	不能	不能
ツインテール	雙馬尾	双马尾
グラフ	圖表	图表
ニュートリノ	中微子	中微子
マウンティング	馬威	马威
ペットボトル	塑膠瓶	塑胶瓶
プラシーボ	安慰劑效應	安慰剂效应
プリクラ	大頭貼	大头贴
エイプリルフール	愚人節	愚人节
ドッペルゲンガー	二重身	二重身
ルーチン	必修課	必修课
CEO	執行長	执行长
バランス	平衡	平衡
モチーフ	原型	原型
ルームシェア	合租	合租
ロケーション	位置	位置
スタート	開始	开始
ゴール	終點	终点
プリズム	棱鏡	棱镜
ショート	短路	短路
アバター	角色	角色
メンタル	心信	心信
スタイル	習慣	习惯
ピンポイント	精準	精准
プレッシャー	施壓	施压
コンビ	搭檔	搭档
メンバー	成員	成员
パートナーシップ	搭檔關係	搭档关系
オーソドックス	傳統的	传统的
オーガナイザー	主辦者	主办者
エモーション	特來電	特来电
バイブス	氣場	气场
フェス	音樂節	音乐节
ライム	押韻	押韵
ドープ	頂級	顶级
フロウ	感染力	感染力
ラッパー	說唱	说唱
プロデューサー	製作人	制作人
コンサルタント	顧問	顾问
ナビ	嚮導	向导
プレリュード	前奏曲	前奏曲
ポイント	重點	重点
バリア	加護	加护
クレーム	㨿罰	㨿罚
ハンドスピナー	指尖陀螺	指尖陀螺
リバーシ	黑白棋	黑白棋
ポリグラフ	測謊機	测谎机
ライバル	競爭對手	竞争对手
ユニット	組團/團體	组团/团体
アイディア	想法/提案/點子/主意	想法/提案/点子/主意
キッチン	厨房	厨房
アドバイス	建議/指點	建议/指点
コマンド	指令	指令
オーラ	靈氣	灵气
オーバーヒート	過火	过火
トラウマ	心理陰影	心理阴影
ライフル	步槍	步枪
インフラ	基礎設施	基础设施
ボールペン	圓珠筆	圆珠笔
スコップ	鏟子	铲子
シートベルト	安全带	安全带
チェックアウト	退房	退房
インコタームズ	國貿條規	国贸条规
DAT	終點站交貨	终点站交货
DAP	目的地交貨	目的地交货
DDP	完稅後交貨	完税后交货
アグレッシブ	主動	主动
オーダー	打單	打单
ファーストクラス	頭等艙	头等舱
ビジネスクラス	商務艙	商务舱
エコノミークラス	經濟艙	经济舱
ルービックキューブ	三階魔方	三阶魔方
ウィンウィン	雙贏	双赢
トーナメント	大獎賽/淘汰賽	大奖赛/淘汰赛
ミーティング	例會	例会
バラエティ	種類	种类
ピンチ	危機	危机
チャンス	轉機/機會	转机/机会
シャラップ	閉嘴	闭嘴
アピール	表示	表示
コミュニケーション	溝通	沟通
ステーション	車站	车站
マッチポンプ	敲詐勒索	敲诈勒索
ストーブ	火爐	火炉
ゲスト	客座	客座
モダン	時髦	时髦
ドラマ	場戲/戲劇	场戏/戏剧
ATM	提款機	提款机
カタルシス	浄化	净化
イメージ	形象	形象
エネルギー	能源/動力	能源/动力
テリトリー	領域	领域
スマート	聰明	聪明
スイミング	競技游泳	竞技游泳
ヘッドショット	爆頭	爆头
シンクロニシティ	同步性	同步性
ヒップホップ	嘻哈	嘻哈
ラップ	饒舌	饶舌
ロック	滾燙	滚烫
ノイローゼ	神經衰弱	神经衰弱
マナー	教養	教养
クライアント	顧客	顾客
セオリー	講理	讲理
クリスマス	聖誕節	圣诞节
バレンタイン	情人節	情人节
テレホンカード	电话卡	电话卡
チェキ	合影	合影
アレルギー	過敏	过敏
ショッピングセンター	購物中心	购物中心
ホスト	主人	主人
ハンドル	方向盤	方向盘
ノイズ	雜音	杂音
ミステリアス	神秘感	神秘感
コスパ	性價比	性价比
モチベーション	士氣/動力	士气/动力
アンソロジー	小說	小说
ジンクス	傳說	传说
エロゲ	黄油	黄油
キックバック	回扣	回扣
アウェー	劣勢	劣势
トラップ	陷阱	陷阱
イニシエーション	歴練	歴练
ラフ	草稿	草稿
アーティスト	歌手	歌手
デリカシー	神経/合適	神経/合适
アトリエ	畫室	画室
AED	心臟去顫器	心脏去颤器
メス	手術刀	手术刀
スプラッタ	獵奇	猎奇
ワンオペ	單打獨鬥	单打独斗
ディスポーザー	垃圾處理器	垃圾处理器
コンタクト	連結	连结
リリース	放生	放生
ハンズフリー	不用手碰	不用手碰
バンド	樂隊	乐队
サラリーマン	上班族	上班族
セット	套裝	套装
ディスリスペクト	被黑	被黑
ハードル	門檻	门槛
コレクション	收藏	收藏
ゴシップ	傳聞	传闻
イメージ	想像	想像
トレーニング	訓練	训练
シンプル	簡潔/簡樸	简洁/简朴
リボルビング	定額貸款	定额贷款
スキンシップ	肌膚之親	肌肤之亲
スケジュール	行程	行程
プラン	計劃	计划
ブルドーザー	推土機	推土机
ギャップ	反差	反差
バリア	屏障	屏障
ルーレット	輪盤賭	轮盘赌
パイロット	飛行員	飞行员
バリスタ	咖啡師	咖啡师
プロレスラー	摔跤手	摔跤手
モジュール	模塊	模块
エントロピー	熵	熵
ポストアポカリプス	末日廢墟	末日废墟
サイケデリック	迷幻錯覺	迷幻错觉
トリックオアトリート	不給糖就搗蛋	不给糖就捣蛋
ラッピング	包裝	包装
プロビデンス	神意	神意
テーマ	主題	主题
サボタージュ	偷懶	偷懒
デモンストレーション	發現	发现
リモコン	遙控器	遥控器
タイトルホルダー	擂主	擂主
デスティニー	命運	命运
フィロソフィー	人生信條	人生信条
イルミネーション	霓虹燈	霓虹灯
インタラクト	交互功能	交互功能
バケーション	休暇	休暇
ジョギング	慢跑	慢跑
MVP	最佳	最佳
ヒット	擊中	击中
バイノーラル	雙路立體聲	双路立体声
マッチ	火柴	火柴
リテイク	重錄	重录
サイコパス	心理病態	心理病态
バンジージャンプ	蹦極	蹦极
スタンディングオベーション	起立鼓掌	起立鼓掌
ワープ	時空跳躍	时空跳跃
カウンセラー	心理諮詢師	心理咨询师
ポーズ	暫停	暂停
ラフ	長草區	长草区
ウォーミングアップ	熱身	热身
カウントダウン	倒計時	倒计时
スロープ	坡道	坡道
ナルシスト	自戀	自恋
ポテンシャル	限量/潛力	限量/潜力
マイナスイオン	負離子	负离子
ノート	筆記本	笔记本
レジスター	結賬機	结账机
チープ	老套	老套
バッティングセンター	擊球中心	击球中心
ドローン	無人機	无人机
インパクト	衝擊	冲击
ワーカーホリック	工作狂	工作狂
クーデター	政変	政変
カリスマ	超凡	超凡
ストラップ	卦件	卦件
カレンダー	日曆	日历
エレベーター	梯電	梯电
バラエティ	綜藝	综艺
オーディション	選拔/試鏡	选拔/试镜
ストーカー	跟踨狂	跟踨狂
オンリー	一份	一份
インスタンス	引証	引证
リアクション	反應	反应
ピュア	單純	单纯
リスナー	聽衆	听众
セピア	棕褐	棕褐
インドア	室内派	室内派
キープ	保留	保留
オキドキ	遵命	遵命
アジト	基地	基地
エージェント	特工	特工
アーキテクチャ	回路設計	回路设计
リカバリー	挽回	挽回
ブライダル	婚禮	婚礼
チャペル	教堂	教堂
セール	折扣	折扣
ポイント	積分	积分
アフレコ	配音	配音
スタミナ	體力	体力
カリキュラム	學習内容	学习内容
ジャーナリズム	新聞謀體	新闻谋体
ハーレム	后宫	后宫
ゲスト	客串	客串
クオリティ	品質	品质
フィールド	主場	主场
シミュレーション	模擬演習	模拟演习
スムーズ	省事	省事
ロリコン	小類人	小类人
キャンバス	畫布	画布
ベンチャー	初創企業	初创企业
フェリー	渡輪	渡轮
パンフレット	本節目單	本节目单
エアコン	空調	空调
アパート	公寓	公寓
ボディビル	健美運動	健美运动
キット	包	包
ストップ高	股暴跌	股暴跌
ニュアンス	意思	意思
ビーコン	信標	信标
ポスター	海報	海报
ディスカッション	討論	讨论
ペナルティ	懲罰	惩罚
キャッチコピー	宣傳標語	宣传标语
オリエンテーション	說明會	说明会
ワンダー	夢幻	梦幻
アラーム	鬧鐘	闹钟
パンチ	重舉	重举
ゴンドラ	游河船	游河船
レリック	古物	古物
ジェネリック	替代性藥物	替代性药物
ターン	轉身	转身
マジョリティ	大半	大半
アフタヌーンティー	下午茶	下午茶
ディフェンス	防備	防备
ダイヤグラム	班次	班次
エッセイ	散文	散文
ミステリー	懸疑	悬疑
インフォームドコンセント	知情同意	知情同意
リップサービス	場面話	场面话
オーラ	元氣	元气
センブランス	外像	外像
コンドーム	避孕套	避孕套
ナーフ	削弱	削弱
ミル	粉碎	粉碎
タンク	槽	槽
シルエット	剪影	剪影
カット	剪輯	剪辑
フォーメーション	站位	站位
ランダム	随機	随机
リード	領先	领先
ボルテージ	電壓	电压
ロジック	邏輯	逻辑
スロット	欄位	栏位
エトセトラ	諸如此類	诸如此类
コンタクト	接觸	接触
レジュメ	概要	概要
マルチ	多様	多様
セミナー	研討會	研讨会
レンタル	租借	租借
シリアス	嚴肅	严肃
ハルマゲドン	末日審判	末日审判
ラムネ	清涼糖	清凉糖
ピクニック	野餐	野餐
シンクロ	同步	同步
スタンダード	標準	标准
スマホカバー	手機保護殼	手机保护壳
メリット	好處	好处
デメリット	壞處	坏处
ポイント	要點	要点
ヒント	提示	提示
ノスタルジー	怀旧风格	怀旧风格
フォーメーション	隊形	队形
インフルエンサー	網紅	网红
オーバーワーク	操勞過度	操劳过度
ハラスメント	騷擾	骚扰
ブランク	空白期	空白期
オープンキャンパス	招生说明会	招生说明会
セレブリティ	千金	千金
グローリー	榮光	荣光
(野球の)バッテリー	投補搭檔	投补搭档
マリオネット	懸絲傀儡	悬丝傀儡
アングル	角度	角度
バルコニー	陽臺	阳台
コレステロール	膽固醇	胆固醇
DHA	腦黄金	脑黄金
ラフ	休閒	休闲
センチメンタル	惆悵	惆怅
フェチ	癖好	癖好
タクシー	租車	租车
バス	公車/公共汽車	公车/公共汽车
アドリブ	臨場反應	临场反应
スコープ	戰鬥瞄準鏡	战斗瞄准镜
サレンダー	投降	投降
ドラッグ	迷幻藥	迷幻药
ロープウェイ	纜車	缆车
パレット	調色盤	调色盘
メダル	獎牌	奖牌
パラドックス	悖論	悖论
グルーミング	社交	社交
コスト	成本	成本
ジャミング	信號干擾	信号干扰
ドット	素畫	素画
リーダー	領袖	领袖
エッセンス	精髄	精髄
フローチャート	流程圖	流程图
ペダル	踏板	踏板
ユニセックス	中性	中性
ジム	健身房	健身房
グッズ	周邊	周边
レクチャー	解說	解说
フェンス	圍欄	围栏
コンプレックス	自卑	自卑
カモフラージュ	偽裝	伪装
エントリー	報名	报名
フリーランス	自由工作	自由工作
ルーチン	例行程序	例行程序
タイムリープ	時間綫改變	时间线改变
タイムループ	時間循環	时间循环
タイムスリップ	時間倒流	时间倒流
タイムカプセル	時間膠囊	时间胶囊
ブーメラン	迴力標	回力标
ノルマ	指標	指标
アメニティ	生活設施	生活设施
ボーナス	獎金	奖金
ラグジュアリー	奢華	奢华
ファビュラス	美妙	美妙
アンチテーゼ	反命題	反命题
ハンディキャップ	劣勢	劣势
パントマイム	無實物表演	无实物表演
イエスマン	無腦贊成的人	无脑赞成的人
サプライズ	驚喜	惊喜
スタンス	態度	态度
ショート	短缺	短缺
ギア	檔位	档位
ベル	鈴鐺	铃铛
ブレークスルー	突破	突破
オーディション	側記	侧记
ランキング	排行	排行
エスコート	花使者/護衛/陪同/引路	花使者/护卫/陪同/引路
ギブス	繃帶	绷带
チャイム	門鈴	门铃
シールド	盾牌	盾牌
パレード	遊行	游行
ピーク	高峰	高峰
キャパシティー	空位	空位
シャワー	花灑	花洒
ゴシップ	謠言	谣言
サバイバル	求生	求生
チャリティー	募款	募款
コテージ	小屋	小屋
ニート	啃老	啃老
プレゼント	饋贈	馈赠
リミッター	限制	限制
スキャンダル	丑聞	丑闻
プリズム	棱鏡	棱镜
シグナル	信號	信号
レバレッジ	資金槓桿	资金杠杆
マリアージュ	調和	调和
グランド	至尊	至尊
インターバル	冷卻時間	冷却时间
レクチャー	培訓	培训
クラック	裂缝	裂缝
ビンテージ	古董	古董
ミサイル	導彈	导弹
ロケットランチャー	火箭彈發射器	火箭弹发射器
ポット	煮壺	煮壶
リスペクト	尊重	尊重
テレワーク	遠離辦公	远离办公
トリートメント	護髪乳	护髪乳
ロビー	大廳	大厅
トレードマーク	商標	商标
マーク	標誌	标志
インテリジェンス	高材生	高材生
ディティール	細節	细节
ペース	歩調	歩调
シチュエーション	清節	清节
スリップストリーム	高速氣流	高速气流
スプラッシュ	噴濺	喷溅
ムーブメント	風潮	风潮
レジスタンス	抵抗者	抵抗者
ツンドラ	苔原	苔原
グラデーション	層次感	层次感
タイヤ	輪胎	轮胎
パンク	輪胎紮	轮胎扎
リスク	風險	风险
スーツケース	行李箱	行李箱
ワイルド	豪邁	豪迈
プライド	自尊	自尊
サドンデス	突然死亡賽	突然死亡赛
マウント	炫耀	炫耀
アジト	老巢	老巢
マラリア	瘧疾	疟疾
オーダーメイド	量身訂製	量身订制
コンタクトレンズ	隱形眼鏡	隐形眼镜
ゲレンデ	滑雪場	滑雪场
エッジ	角度	角度
インストラクター	教練	教练
ナイター	晚上	晚上
カウンセリング	心理諮詢	心理咨询
ポーズ	姿勢	姿势
マーシャルアーツ	武術	武术
デリバティブ	衍生	衍生
レンタル	出租	出租
